 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   5144403  344.078215200000 -31.79749179999999953 0.17631     4  -20.950   22.71997  1.0000    4.144        0.093    0.0079     0     0.000     0.0     0    0.123    2.236    1.000     0
   5109274  340.495083900000 -30.75406380000000084 0.17783     4  -19.592    9.60978  1.0000    8.533        0.022    0.0020     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5156651  345.358534000000 -32.26464519999999681 0.17662     4  -21.102   28.67371  1.0000    1.964        0.413    0.0205     0     1.000     1.0     0    0.616    4.690    1.000     0
   5106750  339.687690300000 -31.22515890000000027 0.15296     4  -19.890    6.48590  1.0000    3.371        0.140    0.0623     0     2.000     1.4     0    1.616    4.583    1.800     0
   5158132  346.389017300000 -31.97169500000000042 0.13782     4  -20.409   19.66667  1.0000    5.542        0.052    0.0071     0     0.000     0.0     0    0.296    3.162    1.200     0
   5141675  343.350921900000 -32.34594690000000128 0.17200     4  -20.446   28.95889  1.0000    2.403        0.276    0.0198     0     2.000     1.4     0    0.234    2.449    1.200     0
   5115863  340.844980200000 -32.42319470000000337 0.17955     4  -19.962   20.03094  1.0000    5.289        0.057    0.0940     0     1.000     1.0     0    0.355    1.732    1.400     0
   5158071  346.383994600000 -31.98305699999999874 0.15680     4  -20.868   22.39888  1.0000   33.280        0.001 -999.9000     2     0.000     0.0     0 -999.900 -999.900    1.000     2
   5158035  345.373631000000 -31.98900030000000072 0.16645     4  -21.492   23.79248  1.0000    1.366        0.852    0.0793     0     1.000     1.0     0    0.898    4.243    1.200     0
   5134366  343.487392400000 -33.64360429999999980 0.15966     4  -20.061   15.58985  1.0000   19.918        0.001 -999.9000     2     1.000     1.0     0    0.242    2.646    1.200     0
   5137234  343.756507000000 -33.15337310000000315 0.15284     4  -20.144   20.35147  1.0000    3.547        0.127    0.0291     0     1.000     1.0     0    0.539    2.646    1.200     0
   5101588  340.300800400000 -32.31795300000000282 0.14913     4  -20.375   11.83173  1.0000   10.875        0.013    0.0011     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5158036  345.415855200000 -31.99180979999999863 0.17710     4  -20.820   25.28409  1.0000    0.587        4.625    0.4573     0    10.000     3.2     0    1.628    6.633    1.400     0
   5158289  346.391519500000 -31.94313710000000128 0.13784     4  -19.061   19.38446  1.0000    5.812        0.047    0.0057     0     0.000     0.0     0    0.320    3.162    1.200     0
   5152078  345.587166900000 -33.24325600000000236 0.13585     4  -20.645   17.27949  1.0000    5.702        0.049    0.0045     0     0.000     0.0     0    0.003    1.000    1.000     0
   5136224  343.920696600000 -33.33567140000000251 0.15333     4  -20.362   18.39925  1.0000    1.826        0.477    0.0335     0     1.000     1.0     0    1.107    4.472    1.600     0
   5124069  341.050496300000 -30.67135220000000118 0.17300     4  -20.713    8.33334  1.0000    7.015        0.032    0.0028     0     1.000     1.0     0    0.171    1.000    1.200     0
