,cataid,ra,dec,z1,template1,cc_sigma,z2,template2,cc_sigma.1,spec_id,t1_type,t2_type,spec_type
202,5247328,343.978,-30.7589,0.359,40,6.7,0.7222,47,6.6,G23_Y5_046_274,PG,ELG,PG+ELG
208,5229802,342.5759,-31.9096,0.3876,40,6.6,0.4254,47,6.2,G23_Y5_064_299,PG,ELG,PG+ELG
213,5151434,345.6853,-33.3673,0.2208,40,10.8,0.3188,47,6.9,G23_Y5_076_137,PG,ELG,PG+ELG
218,5287452,346.7303,-34.8736,0.2064,40,9.9,0.4942,47,6.6,G23_Y7_015_112,PG,ELG,PG+ELG
221,5196710,340.0066,-34.1301,0.218,40,9.6,0.3009,47,12.2,G23_Y7_030_351,PG,ELG,PG+ELG
21,380839,130.2763,1.7291,0.3607,42,8.4,0.3871,47,7.3,G09_Y1_AN1_356,PG,ELG,PG+ELG
53,302719,138.9406,1.3314,0.404,42,6.4,0.5933,47,6.5,G09_Y3_004_090,PG,ELG,PG+ELG
56,3626956,134.2337,-0.8041,0.267,42,6.5,0.7365,47,6.6,G09_Y3_013_044,PG,ELG,PG+ELG
65,3884455,135.1084,-1.6019,0.411,42,9.2,0.4404,47,7.4,G09_Y4_216_015,PG,ELG,PG+ELG
119,7242,176.2923,0.7391,0.5292,42,6,0.642,47,5.2,G12_Y2_015_127,PG,ELG,PG+ELG
192,5251563,344.0924,-34.8805,0.1993,42,8.7,0.3265,47,7.5,G23_Y4_003_075,PG,ELG,PG+ELG
7,1274050,32.8271,-9.8643,0.1612,44,6.9,0.5073,47,6.5,G02_Y4_042_079,ELG,ELG,ELG+ELG
116,231768,185.448,1.9462,0.2261,44,11.3,0.2516,47,8.7,G12_Y2_009_280,ELG,ELG,ELG+ELG
